LA1, LA2, LA3, %CPU(s)
0.01, 0.05, 0.01, 0.376923
0.01, 0.05, 0.01, 0.376923
0.00, 0.05, 0.01, 0.376923
0.00, 0.05, 0.01, 0.376923
0.00, 0.05, 0.01, 0.376923
0.00, 0.05, 0.01, 0.376923
0.00, 0.05, 0.01, 0.376923
0.00, 0.04, 0.01, 0.376923
0.00, 0.04, 0.01, 0.376923
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.01, 0.374046
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.04, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.00, 0.03, 0.00, 0.366412
0.08, 0.05, 0.01, 0.366412
0.08, 0.05, 0.01, 0.366412
0.08, 0.05, 0.01, 0.366412
0.08, 0.05, 0.01, 0.366412
0.08, 0.05, 0.01, 0.366412
0.15, 0.06, 0.01, 0.366412
0.15, 0.06, 0.01, 0.366412
0.15, 0.06, 0.01, 0.366412
0.15, 0.06, 0.01, 0.366412
0.15, 0.06, 0.01, 0.366412
0.14, 0.06, 0.01, 0.366412
0.14, 0.06, 0.01, 0.366412
0.14, 0.06, 0.01, 0.366412
0.14, 0.06, 0.01, 0.366412
0.14, 0.06, 0.01, 0.366412
0.13, 0.06, 0.01, 0.366412
0.13, 0.06, 0.01, 0.366412
0.13, 0.06, 0.01, 0.366412
0.13, 0.06, 0.01, 0.366412
0.13, 0.06, 0.01, 0.366412
0.12, 0.06, 0.01, 0.366412
0.12, 0.06, 0.01, 0.366412
0.12, 0.06, 0.01, 0.366412
0.12, 0.06, 0.01, 0.366412
0.12, 0.06, 0.01, 0.366412
0.11, 0.06, 0.01, 0.366412
0.11, 0.06, 0.01, 0.366412
0.11, 0.06, 0.01, 0.366412
0.11, 0.06, 0.01, 0.366412
0.11, 0.06, 0.01, 0.366412
0.42, 0.12, 0.03, 0.366412
0.42, 0.12, 0.03, 0.366412
0.42, 0.12, 0.03, 0.366412
0.42, 0.12, 0.03, 0.366412
0.42, 0.12, 0.03, 0.366412
0.39, 0.12, 0.03, 0.374046
0.39, 0.12, 0.03, 0.374046
0.39, 0.12, 0.03, 0.374046
0.39, 0.12, 0.03, 0.374046
0.39, 0.12, 0.03, 0.374046
0.36, 0.12, 0.03, 0.374046
0.36, 0.12, 0.03, 0.374046
0.36, 0.12, 0.03, 0.374046
0.36, 0.12, 0.03, 0.374046
0.36, 0.12, 0.03, 0.374046
0.33, 0.12, 0.03, 0.374046
0.33, 0.12, 0.03, 0.374046
0.33, 0.12, 0.03, 0.374046
0.33, 0.12, 0.03, 0.374046
0.30, 0.12, 0.03, 0.374046
0.30, 0.12, 0.03, 0.374046
0.30, 0.12, 0.03, 0.374046
0.30, 0.12, 0.03, 0.374046
0.30, 0.12, 0.03, 0.374046
0.28, 0.11, 0.03, 0.374046
0.28, 0.11, 0.03, 0.374046
0.28, 0.11, 0.03, 0.374046
0.28, 0.11, 0.03, 0.374046
0.28, 0.11, 0.03, 0.374046
0.25, 0.11, 0.03, 0.374046
0.25, 0.11, 0.03, 0.374046
0.25, 0.11, 0.03, 0.374046
0.25, 0.11, 0.03, 0.374046
0.25, 0.11, 0.03, 0.374046
0.23, 0.11, 0.03, 0.374046
0.23, 0.11, 0.03, 0.374046
0.23, 0.11, 0.03, 0.374046
0.23, 0.11, 0.03, 0.374046
0.23, 0.11, 0.03, 0.374046
0.21, 0.11, 0.03, 0.374046
0.21, 0.11, 0.03, 0.374046
0.21, 0.11, 0.03, 0.374046
0.21, 0.11, 0.03, 0.374046
0.21, 0.11, 0.03, 0.374046
0.20, 0.11, 0.03, 0.374046
0.20, 0.11, 0.03, 0.374046
0.20, 0.11, 0.03, 0.374046
0.20, 0.11, 0.03, 0.374046
0.20, 0.11, 0.03, 0.374046
0.18, 0.10, 0.03, 0.374046
0.18, 0.10, 0.03, 0.374046
0.18, 0.10, 0.03, 0.374046
0.18, 0.10, 0.03, 0.366412
0.18, 0.10, 0.03, 0.366412
0.17, 0.10, 0.03, 0.366412
0.17, 0.10, 0.03, 0.366412
0.17, 0.10, 0.03, 0.366412
0.17, 0.10, 0.03, 0.366412
0.17, 0.10, 0.03, 0.366412
0.15, 0.10, 0.02, 0.366412
0.15, 0.10, 0.02, 0.366412
0.15, 0.10, 0.02, 0.366412
0.15, 0.10, 0.02, 0.366412
0.15, 0.10, 0.02, 0.366412
0.54, 0.18, 0.05, 0.366412
0.54, 0.18, 0.05, 0.366412
0.54, 0.18, 0.05, 0.366412
0.54, 0.18, 0.05, 0.366412
0.54, 0.18, 0.05, 0.366412
0.50, 0.18, 0.05, 0.366412
0.50, 0.18, 0.05, 0.366412
0.50, 0.18, 0.05, 0.366412
0.50, 0.18, 0.05, 0.366412
0.50, 0.18, 0.05, 0.366412
0.46, 0.17, 0.05, 0.366412
0.46, 0.17, 0.05, 0.366412
0.46, 0.17, 0.05, 0.374046
0.46, 0.17, 0.05, 0.374046
0.46, 0.17, 0.05, 0.374046
0.42, 0.17, 0.05, 0.374046
0.42, 0.17, 0.05, 0.374046
0.42, 0.17, 0.05, 0.374046
0.42, 0.17, 0.05, 0.374046
0.42, 0.17, 0.05, 0.374046
0.39, 0.17, 0.05, 0.374046
0.39, 0.17, 0.05, 0.374046
0.39, 0.17, 0.05, 0.374046
0.39, 0.17, 0.05, 0.374046
0.39, 0.17, 0.05, 0.374046
0.36, 0.17, 0.05, 0.374046
0.36, 0.17, 0.05, 0.374046
0.36, 0.17, 0.05, 0.374046
0.36, 0.17, 0.05, 0.374046
0.36, 0.17, 0.05, 0.374046
0.33, 0.16, 0.05, 0.374046
0.33, 0.16, 0.05, 0.374046
0.33, 0.16, 0.05, 0.374046
0.33, 0.16, 0.05, 0.374046
